page,match,innings,category,discrepancy,numeric,sparseness
132,"Penang v Perak (February 20 and 21, 1920)",Perak inn 1,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
133,"Selangor v Perak (May 22 and 24, 1920)",Selangor inn 1,batting_total,"batting (119) + extras (15) = 134, but total is 135 (-1)",-1,0.0
133,"Selangor v Perak (May 22 and 24, 1920)",Perak inn 1,dismissal_wickets,REH Oliver: bowling says 0w but dismissals say 1w,-1,0.0
134,"Singapore v Selangor (July 31 and August 1, 1920)",Singapore inn 2,dismissal_wickets,bowling figures total 7w but 8 bowler-credited dismissals,-1,0.02
135,"PERAK v PENANG (July 31 and August 2, 1920)",PERAK inn 1,batting_total,"batting (58) + extras (8) = 66, but total is 65 (+1)",1,0.0
135,"PERAK v PENANG (July 31 and August 2, 1920)",PENANG inn 2,batting_total,"batting (83) + extras (8) = 91, but total is 92 (-1)",-1,0.0
136,"PERAK v PENANG (February 8 and 9, 1921)",PERAK inn 2,dismissal_wickets,bowling figures total 8w but 9 bowler-credited dismissals,-1,0.0
138,"Perak v Penang (July 31 and August 1, 1921)",Perak inn 1,batting_total,"batting (120) + extras (17) = 137, but total is 135 (+2)",2,0.0
140,"Penang v Perak (January 28 and 30, 1922)",Perak inn 2,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
141,"PERAK v PENANG (April 15 and 17, 1922)",PENANG inn 2,batting_total,"batting (26) + extras (0) = 26, but total is 36 (-10)",-10,0.16
144,"PENANG v KEDAH (June 3, 1922)",PENANG inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
144,"PENANG v KEDAH (June 3, 1922)",KEDAH inn 1,fow_count,8 FOW entries but wickets=10,-2,0.0
145,"SELANGOR v PERAK (June 3 and 5, 1922)",SELANGOR inn 2,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
146,"Penang v Perak (March 31 and April 2, 1923)",Perak inn 1,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
146,"Penang v Perak (March 31 and April 2, 1923)",Perak inn 1,fow_final_value,last FOW is 9 but all-out total is 83,-74,0.0
149,"Penang v Perak (June 2 and 4, 1923)",Penang inn 1,fow_count,10 FOW entries but wickets=9,1,0.0
150,"NEGERI SEMBILAN v SELANGOR (June 2 and 4, 1923)",NEGERI SEMBILAN inn 1,batting_total,"batting (112) + extras (7) = 119, but total is 112 (+7)",7,0.0
153,"Selangor v Perak (May 6 and 7, 1924)",Selangor inn 2,batting_total,"batting (100) + extras (4) = 104, but total is 94 (+10)",10,0.09
154,"Penang v Kedah (May 12, 1924)",Kedah inn 1,batting_total,"batting (131) + extras (1) = 132, but total is 133 (-1)",-1,0.0
158,"MELAKA v NEGERI SEMBILAN (August 10, 1924)",NEGERI SEMBILAN inn 1,batting_total,"batting (63) + extras (0) = 63, but total is 60 (+3)",3,0.93
158,"MELAKA v NEGERI SEMBILAN (August 10, 1924)",MELAKA inn 1,batting_total,"batting (0) + extras (0) = 0, but total is 184 (-184)",-184,0.8
174,"SINGAPORE v NEGERI SEMBILAN (May 22 and 24, 1926)",SINGAPORE inn 1,fow_count,10 FOW entries but wickets=9,1,0.0
174,"SINGAPORE v NEGERI SEMBILAN (May 22 and 24, 1926)",NEGERI SEMBILAN inn 1,fow_count,10 FOW entries but wickets=9,1,0.0
175,"PERAK v KEDAH (May 22 and 24, 1926)",KEDAH inn 1,batting_total,"batting (0) + extras (0) = 0, but total is 112 (-112)",-112,1.0
175,"PERAK v KEDAH (May 22 and 24, 1926)",PERAK inn 1,batting_total,"batting (140) + extras (0) = 140, but total is 221 (-81)",-81,0.7
178,"PENANG v KEDAH (February 3 and 4, 1927)",KEDAH inn 2,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
181,"Penang v Perak (April 15 and 16, 1927)",Perak inn 1,fow_final_value,last FOW is 10 but all-out total is 97,-87,0.0
185,"SINGAPORE v NEGERI SEMBILAN (May 26, 27 and 28, 1928)",NEGERI SEMBILAN inn 2,batting_total,"batting (99) + extras (12) = 111, but total is 113 (-2)",-2,0.0
187,"KEDAH v PENANG (June 2 and 4, 1928)",KEDAH inn 1,fow_count,7 FOW entries but wickets=all out (10),-3,0.0
187,"KEDAH v PENANG (June 2 and 4, 1928)",PENANG inn 1,fow_count,8 FOW entries but wickets=9,-1,0.0
187,"KEDAH v PENANG (June 2 and 4, 1928)",KEDAH inn 2,batting_total,"batting (69) + extras (17) = 86, but total is 77 (+9)",9,0.0
187,"KEDAH v PENANG (June 2 and 4, 1928)",KEDAH inn 2,fow_count,7 FOW entries but wickets=all out (10),-3,0.0
187,"KEDAH v PENANG (June 2 and 4, 1928)",KEDAH inn 2,fow_final_value,last FOW is 73 but all-out total is 77,-4,0.0
190,"Selangor v Negeri Sembilan (March 13 and 14, 1929)",Selangor inn 2,batting_total,"batting (23) + extras (0) = 23, but total is 216 (-193)",-193,0.48
